125.209.229.31,125.209.229.31,클로바,마이크
musicmeta-phinf.pstatic.net.static.gscdn.net,101.79.137.130,클로바,클로바 뮤직 카테고리 및 실행
m-aod-music.pstatic.net.stream.gscdn.net,175.124.225.56,클로바,클로바 뮤직 카테고리 및 실행
m-aod-music.pstatic.net.stream.gscdn.net,175.158.10.78,클로바,클로바 뮤직 카테고리 및 실행
musicmeta-phinf.pstatic.net.static.gscdn.net,183.111.26.165,클로바,클로바 뮤직 카테고리 및 실행
musicmeta-phinf.pstatic.net.static.gscdn.net,183.111.26.166,클로바,클로바 뮤직 카테고리 및 실행
musicmeta-phinf.pstatic.net.static.gscdn.net,183.111.26.167,클로바,클로바 뮤직 카테고리 및 실행
now-livecloud.pstatic.net.live.gscdn.net,183.111.4.35,클로바,클로바 뮤직 카테고리 및 실행
now-livecloud.pstatic.net.live.gscdn.net,183.111.4.36,클로바,클로바 뮤직 카테고리 및 실행
nnow-phinf.pstatic.net.static.gscdn.net,211.216.46.2,클로바,클로바 뮤직 카테고리 및 실행
musicmeta-phinf.pstatic.net.static.gscdn.net,211.216.46.3,클로바,클로바 뮤직 카테고리 및 실행
musicmeta-phinf.pstatic.net.static.gscdn.net,211.216.46.4,클로바,클로바 뮤직 카테고리 및 실행
m-aod-music.pstatic.net.stream.gscdn.net,175.158.11.168,클로바,음악실행
musicmeta-phinf.pstatic.net.static.gscdn.net,211.216.46.4,클로바,음악실행
m.map.naver.com,125.209.214.26,클로바,지도실행
static.nid.naver.com.nheos.com,125.209.226.239,클로바,지도실행
s2.e.navercdn.com,125.209.229.206,클로바,지도실행
s2.e.navercdn.com,125.209.229.208,클로바,지도실행
s2.e.navercdn.com,125.209.254.194,클로바,지도실행
s2.e.navercdn.com,125.209.254.197,클로바,지도실행
ldb.phinf.naver.net.static.gscdn.net,211.216.46.2,클로바,지도실행
ldb.phinf.naver.net.static.gscdn.net,101.79.137.131,클로바,네이버검색실행
ldb.phinf.naver.net.static.gscdn.net,101.79.137.132,클로바,네이버검색실행
ldb.phinf.naver.net.static.gscdn.net,183.111.26.166,클로바,네이버검색실행
kr.apis.naver.com.akadns.net,110.93.147.5,네이버 지도,길찾기
api.pubtrans.map.naver.com,125.209.210.82,네이버 지도,길찾기
app.map.naver.com,125.209.214.26,네이버 지도,길찾기
125.209.218.212,125.209.218.212,네이버 지도,길찾기
panorama.map.naver.com,125.209.229.68,네이버 지도,길찾기
kr-ace.naver.com.akadns.net,125.209.230.234,네이버 지도,길찾기
s2.e.navercdn.com,125.209.254.192,네이버 지도,길찾기
125.209.254.196,125.209.254.196,네이버 지도,길찾기
s3.e.navercdn.com,125.209.254.214,네이버 지도,길찾기
s3x.e.navercdn.com,182.162.92.214,네이버 지도,길찾기
nmap.place.naver.com.nheos.com,210.89.168.36,네이버 지도,길찾기
nrt12s02-in-f3.1e100.net,216.58.197.163,네이버 지도,길찾기
kr.apis.naver.com.akadns.net,110.93.147.5,네이버 지도,지하철 노선도
app.map.naver.com,125.209.214.26,네이버 지도,지하철 노선도
125.209.218.212,125.209.218.212,네이버 지도,지하철 노선도
subwaymeta.map.naver.net,125.209.226.175,네이버 지도,지하철 노선도
s2.e.navercdn.com,125.209.254.179,네이버 지도,지하철 노선도
s2.e.navercdn.com,125.209.254.181,네이버 지도,지하철 노선도
kr-ace.naver.com.akadns.net,175.158.20.64,네이버 지도,지하철 노선도
pugot.canonical.com,91.189.94.4,네이버 지도,지하철 노선도
kr.apis.naver.com.akadns.net,110.93.147.5,네이버 지도,네비게이션
125.209.218.212,125.209.218.212,네이버 지도,네비게이션
125.209.229.31,125.209.229.31,네이버 지도,네비게이션
kr-ace.naver.com.akadns.net,125.209.230.234,네이버 지도,네비게이션
s2.e.navercdn.com,125.209.254.179,네이버 지도,네비게이션
125.209.254.189,125.209.254.189,네이버 지도,네비게이션
s2.e.navercdn.com,125.209.254.192,네이버 지도,네비게이션
125.209.254.196,125.209.254.196,네이버 지도,네비게이션
nrt20s02-in-f4.1e100.net,172.217.26.4,네이버 지도,네비게이션
1.255.49.112,1.255.49.112,네이버 티비,광고
ams.rmcnmv.naver.com,117.52.128.59,네이버 티비,광고
b01-kr-cdn.vod.naver.net.stream.gscdn.net,125.209.207.25,네이버 티비,광고
183.111.238.132,183.111.238.132,네이버 티비,광고
kr.apis.naver.com.akadns.net,210.89.167.4,네이버 티비,광고
kr.apis.naver.com.nheos.com,210.89.168.207,네이버 티비,광고
b01-kr-naver-vod.pstatic.net.stream.gscdn.net,211.115.108.3,네이버 티비,광고
b01-kr-cdn.vod.naver.net.stream.gscdn.net,1.248.254.10,네이버 티비,동영상
